listing_id,url,district,price,area_sqm,rooms,predicted_annual_rent,expected_yield_pct
6650596,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الجمازية-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6650596,حي اشبيلية,750000.0,87.0,3.0,49572.53804726269,6.61
6595390,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6595390,حي المعيزلة,680000.0,89.0,2.0,44970.31107503607,6.61
6479136,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-التراث-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6479136,حي المونسية,1100000.0,140.0,4.0,72685.98566618566,6.61
6749205,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-العزيزيه-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6749205,حي طيبة,370000.0,194.0,3.0,24471.060445110437,6.61
6731991,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/حي-الرمال-مدينة-الرياض-منطقة-الرياض-6731991,حي الرمال,850000.0,209.0,3.0,56221.700931475956,6.61
6602583,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-الامير-سلمان-بن-محمد-بن-سعود-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6602583,حي الصحافة,980000.0,158.0,4.0,64758.350705387216,6.61
6644313,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-مهرة-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6644313,حي اليرموك,980000.0,165.0,3.0,64777.749039264854,6.61
6592079,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-القادسية-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6592079,حي الياسمين,1150000.0,170.0,5.0,75996.79152837904,6.61
6602563,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-الامير-سلمان-بن-محمد-بن-سعود-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6602563,حي الصحافة,980000.0,158.0,4.0,64758.350705387216,6.61
6443180,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-180-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6443180,حي الياسمين,1150000.0,163.0,3.0,75994.32680590464,6.61
6315412,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-الحزم/شارع-محمد-بن-عوجان-حي-الحزم-مدينة-الرياض-منطقة-الرياض-6315412,حي الحزم,690000.0,206.0,5.0,45639.10449735446,6.61
6560872,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-359-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6560872,حي المونسية,1080000.0,148.0,4.0,71275.67518690454,6.6
6573132,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-طياش-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6573132,حي عكاظ,490000.0,122.0,4.0,32319.306938431928,6.6
6573486,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-علي-الكيلاني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6573486,حي المهدية,800000.0,137.0,3.0,52790.988384245386,6.6
6752687,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-53-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6752687,حي الملقا,1150000.0,142.0,3.0,75895.30253185514,6.6
6757733,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-رقم-24-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6757733,حي العزيزية,520000.0,92.0,4.0,34330.9565989566,6.6
6514109,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-شعيب-المغربي-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6514109,حي النرجس,1050000.0,117.0,3.0,69265.33581053281,6.6
6580367,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-الشرق-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6580367,حي النرجس,1124000.0,142.0,3.0,74162.064869897,6.6
6620244,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-الشيخ-جابر-الاحمد-الصباح-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6620244,حي الخليج,1100000.0,138.0,3.0,72654.94143819141,6.6
6675665,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-ابن-ابي-حفصه-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6675665,حي قرطبة,1280000.0,143.0,3.0,84448.35967892516,6.6
6590526,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-إسحاق-السقاف-حي-البيان-مدينة-الرياض-منطقة-الرياض-6590526,حي الشرق,550000.0,86.0,2.0,36288.309860509864,6.6
6551787,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الخليفة-المامون-حي-بدر-مدينة-الرياض-منطقة-الرياض-6551787,حي بدر,490000.0,134.0,4.0,32319.13270063272,6.6
6574632,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-عمر-بن-عبدالقادر-مفتي-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6574632,حي المهدية,860000.0,141.0,3.0,56785.22192714692,6.6
6581329,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-جبل-الضبيان-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6581329,حي الرمال,770000.0,130.0,4.0,50857.302129652126,6.6
6761667,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-الابيار-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6761667,حي ديراب,720000.0,196.0,4.0,47500.7091945092,6.6
