listing_id,url,district,rooms,price,area_sqm,expected_annual_rent_sakani,sakani_deals_count,sakani_trusted,expected_yield_pct_sakani,ad_price_per_sqm,comparable_sale_deals_count,comparable_median_price_per_sqm,price_ratio,verdict_price
6614764,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-وادي-وج-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6614764,حي الملقا,4.0,1000000.0,151.0,58100,924,True,5.81,6623,135,8660.0,0.76,🟢 سعر عادل
6589966,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-عبدالمنعم-القلعي-حي-العارض-مدينة-الرياض-منطقة-الرياض-6589966,حي العارض,4.0,850000.0,138.0,49400,554,True,5.81,6159,198,8348.0,0.74,🟢 سعر عادل
6804577,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-سعيد-بن-شعبان-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6804577,حي الرمال,3.0,520000.0,59.0,30100,3400,True,5.79,8814,25,10302.0,0.86,🟢 سعر عادل
6389563,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/حي-الرمال-مدينة-الرياض-منطقة-الرياض-6389563,حي الرمال,3.0,520000.0,94.0,30100,3400,True,5.79,5532,218,5732.0,0.97,🟢 سعر عادل
6691852,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-317-الرمال-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6691852,حي الرمال,3.0,520000.0,93.0,30100,3400,True,5.79,5591,218,5752.0,0.97,🟢 سعر عادل
6813624,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-زياد-بن-أيوب-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6813624,حي الرمال,3.0,520000.0,117.0,30100,3400,True,5.79,4444,419,5256.0,0.85,🟢 سعر عادل
6809105,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-علي-البجادي-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6809105,حي الرمال,3.0,520000.0,100.0,30100,3400,True,5.79,5200,264,5696.0,0.91,🟢 سعر عادل
6662213,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/حي-الرمال-مدينة-الرياض-منطقة-الرياض-6662213,حي الرمال,3.0,520000.0,107.0,30100,3400,True,5.79,4860,338,5400.0,0.9,🟢 سعر عادل
6781191,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-جبل-الأعراف-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6781191,حي النرجس,3.0,900000.0,250.0,52000,2100,True,5.78,3600,30,8606.0,0.42,🔴 REVIEW
6479540,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-مؤيد-الدين-الحارثي-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6479540,حي النرجس,3.0,900000.0,115.0,52000,2100,True,5.78,7826,513,8516.0,0.92,🟢 سعر عادل
